"BIXS011K.Code.or.Value","BIXS011K.Value.Description","BIXS011K.Count","BIXS011K.Cumulative","BIXS011K.Skip.to.Item"
"285.39 to 1040.08","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
