"DRXTTFAT.Code.or.Value","DRXTTFAT.Value.Description","DRXTTFAT.Count","DRXTTFAT.Cumulative","DRXTTFAT.Skip.to.Item"
"0 to 839.65","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
