"LBX177LA.Code.or.Value","LBX177LA.Value.Description","LBX177LA.Count","LBX177LA.Cumulative","LBX177LA.Skip.to.Item"
"1.1 to 27.3","Range of Values",2287,2287,NA
".","Missing",260,2547,NA
