"DR2IB12A.Code.or.Value","DR2IB12A.Value.Description","DR2IB12A.Count","DR2IB12A.Cumulative","DR2IB12A.Skip.to.Item"
"0 to 29.725","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
