"RFXC148.Code.or.Value","RFXC148.Value.Description","RFXC148.Count","RFXC148.Cumulative","RFXC148.Skip.to.Item"
"-6.653 to 7.878","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
