"DXXL2BMD.Code.or.Value","DXXL2BMD.Value.Description","DXXL2BMD.Count","DXXL2BMD.Cumulative","DXXL2BMD.Skip.to.Item"
"0.406 to 1.97","Range of Values",6426,6426,NA
".","Missing",1308,7734,NA
