"SDMVSTRA.Code.or.Value","SDMVSTRA.Value.Description","SDMVSTRA.Count","SDMVSTRA.Cumulative","SDMVSTRA.Skip.to.Item"
"119 to 133","Range of Values",9971,9971,NA
".","Missing",0,9971,NA
