"DXXLLBMC.Code.or.Value","DXXLLBMC.Value.Description","DXXLLBMC.Count","DXXLLBMC.Cumulative","DXXLLBMC.Skip.to.Item"
"97.47 to 1068.96","Range of Values",4658,4658,NA
".","Missing",1034,5692,NA
