"LBXF05LA.Code.or.Value","LBXF05LA.Value.Description","LBXF05LA.Count","LBXF05LA.Cumulative","LBXF05LA.Skip.to.Item"
"0.8 to 33.5","Range of Values",1236,1236,NA
".","Missing",1311,2547,NA
