"BAXPFC21.Code.or.Value","BAXPFC21.Value.Description","BAXPFC21.Count","BAXPFC21.Cumulative","BAXPFC21.Skip.to.Item"
"1","Pass",820,820,"BAXPFC31"
"2","Dnp(did not pass)",32,852,""
".","Missing",159,1011,""
