"MCQ250B.Code.or.Value","MCQ250B.Value.Description","MCQ250B.Count","MCQ250B.Cumulative","MCQ250B.Skip.to.Item"
"1","Yes",590,590,"MCQ260BA"
"2","No",4715,5305,""
"7","Refused",1,5306,""
"9","Don't know",104,5410,""
".","Missing",5060,10470,""
