"AUXLR230.Code.or.Value","AUXLR230.Value.Description","AUXLR230.Count","AUXLR230.Cumulative","AUXLR230.Skip.to.Item"
"-22 to 56","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
