"LBDSGLSI.Code.or.Value","LBDSGLSI.Value.Description","LBDSGLSI.Count","LBDSGLSI.Cumulative","LBDSGLSI.Skip.to.Item"
"2.276 to 31.696","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
