"AGQ010.Code.or.Value","AGQ010.Value.Description","AGQ010.Count","AGQ010.Cumulative","AGQ010.Skip.to.Item"
"1","Yes",646,646,""
"2","No",9157,9803,"AGQ040"
"7","Refused",0,9803,"AGQ040"
"9","Don't know",19,9822,"AGQ040"
".","Missing",0,9822,""
