"ORXH66.Code.or.Value","ORXH66.Value.Description","ORXH66.Count","ORXH66.Cumulative","ORXH66.Skip.to.Item"
"1","Positive",25,25,NA
"2","Negative",4699,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
