"URXUAS3.Code.or.Value","URXUAS3.Value.Description","URXUAS3.Count","URXUAS3.Cumulative","URXUAS3.Skip.to.Item"
"0.85 to 23.3","Range of Values",2588,2588,NA
".","Missing",104,2692,NA
