"DSQICAFF.Code.or.Value","DSQICAFF.Value.Description","DSQICAFF.Count","DSQICAFF.Cumulative","DSQICAFF.Skip.to.Item"
"2 to 600","Range of Values",22,22,NA
".","Missing",9095,9117,NA
