"FSD450.Code.or.Value","FSD450.Value.Description","FSD450.Count","FSD450.Cumulative","FSD450.Skip.to.Item"
"1","Yes",41,41,""
"2","No",830,871,"FSQ470"
"7","Refused",0,871,"FSQ470"
"9","Don't know",0,871,"FSQ470"
".","Missing",10168,11039,""
