"LBXVOX.Code.or.Value","LBXVOX.Value.Description","LBXVOX.Count","LBXVOX.Cumulative","LBXVOX.Skip.to.Item"
"0.017 to 6.56","Range of Values",2994,2994,NA
".","Missing",272,3266,NA
