"AUXTMEPL.Code.or.Value","AUXTMEPL.Value.Description","AUXTMEPL.Count","AUXTMEPL.Cumulative","AUXTMEPL.Skip.to.Item"
"-288 to 168","Range of Values",1675,1675,NA
"555","Compliance <= 0.2",100,1775,NA
"777","Refused",0,1775,NA
"888","Could not obtain",9,1784,NA
".","Missing",105,1889,NA
