"BIXC060K.Code.or.Value","BIXC060K.Value.Description","BIXC060K.Count","BIXC060K.Cumulative","BIXC060K.Skip.to.Item"
"32.71 to 168.63","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
