"DIQ160.Code.or.Value","DIQ160.Value.Description","DIQ160.Count","DIQ160.Cumulative","DIQ160.Skip.to.Item"
"1","Yes",513,513,NA
"2","No",5521,6034,NA
"7","Refused",0,6034,NA
"9","Don't know",11,6045,NA
".","Missing",3530,9575,NA
