"RFXT104.Code.or.Value","RFXT104.Value.Description","RFXT104.Count","RFXT104.Cumulative","RFXT104.Skip.to.Item"
"902 to 911","Range of Values",51061,51061,NA
".","Missing",15,51076,NA
