"LBXV4C.Code.or.Value","LBXV4C.Value.Description","LBXV4C.Count","LBXV4C.Cumulative","LBXV4C.Skip.to.Item"
"0.0339 to 16","Range of Values",2958,2958,NA
".","Missing",489,3447,NA
