"RDQ080.Code.or.Value","RDQ080.Value.Description","RDQ080.Count","RDQ080.Cumulative","RDQ080.Skip.to.Item"
"1 to 12","Range of Values",1310,1310,NA
"7777","Refused",0,1310,NA
"9999","Don't know",22,1332,NA
".","Missing",8313,9645,NA
