"OSQ230.Code.or.Value","OSQ230.Value.Description","OSQ230.Count","OSQ230.Cumulative","OSQ230.Skip.to.Item"
"1","Yes",940,940,NA
"2","No",2796,3736,NA
"7","Refused",0,3736,NA
"9","Don't Know",28,3764,NA
".","Missing",5811,9575,NA
