"MPQ120d.Code.or.Value","MPQ120d.Value.Description","MPQ120d.Count","MPQ120d.Cumulative","MPQ120d.Skip.to.Item"
"13","Shoulder girdle - left",152,152,NA
".","Missing",4728,4880,NA
