"GTDSCMMN.Code.or.Value","GTDSCMMN.Value.Description","GTDSCMMN.Count","GTDSCMMN.Cumulative","GTDSCMMN.Skip.to.Item"
"0 to 10","Range of Values",2638,2638,NA
".","Missing",525,3163,NA
