"BPQ090D.Code.or.Value","BPQ090D.Value.Description","BPQ090D.Count","BPQ090D.Cumulative","BPQ090D.Skip.to.Item"
"1","Yes",570,570,NA
"2","No",591,1161,NA
"7","Refused",0,1161,NA
"9","Don't know",5,1166,NA
".","Missing",4878,6044,NA
