"PAQ759m.Code.or.Value","PAQ759m.Value.Description","PAQ759m.Count","PAQ759m.Cumulative","PAQ759m.Skip.to.Item"
"13","TRACK AND FIELD",77,77,NA
".","Missing",9407,9484,NA
