"WBXF031.Code.or.Value","WBXF031.Value.Description","WBXF031.Count","WBXF031.Cumulative","WBXF031.Skip.to.Item"
"890.8987 to 890.8987","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
