"DRD370UQ.Code.or.Value","DRD370UQ.Value.Description","DRD370UQ.Count","DRD370UQ.Cumulative","DRD370UQ.Skip.to.Item"
"1 to 60","Range of Values",621,621,NA
".","Missing",8717,9338,NA
