"DSQINIAC.Code.or.Value","DSQINIAC.Value.Description","DSQINIAC.Count","DSQINIAC.Cumulative","DSQINIAC.Skip.to.Item"
"0.8 to 2000","Range of Values",2192,2192,NA
".","Missing",6077,8269,NA
