"DRD370U.Code.or.Value","DRD370U.Value.Description","DRD370U.Count","DRD370U.Cumulative","DRD370U.Skip.to.Item"
"1","Yes",644,644,""
"2","No",5305,5949,"DRD370V"
".","Missing",4304,10253,""
