"DCQ070C.Code.or.Value","DCQ070C.Value.Description","DCQ070C.Count","DCQ070C.Cumulative","DCQ070C.Skip.to.Item"
"1","Yes",194,194,NA
"2","No",1063,1257,NA
".","Missing",73,1330,NA
