"URDETULC.Code.or.Value","URDETULC.Value.Description","URDETULC.Count","URDETULC.Cumulative","URDETULC.Skip.to.Item"
"0","At or above the detection limit",366,366,NA
"1","Below lower detection limit",2219,2585,NA
".","Missing",171,2756,NA
