"DSQIMAGN.Code.or.Value","DSQIMAGN.Value.Description","DSQIMAGN.Count","DSQIMAGN.Cumulative","DSQIMAGN.Skip.to.Item"
"0.3 to 14760","Range of Values",2552,2552,NA
".","Missing",5733,8285,NA
