"RHQ576U.Code.or.Value","RHQ576U.Value.Description","RHQ576U.Count","RHQ576U.Cumulative","RHQ576U.Skip.to.Item"
"1","Months",20,20,NA
"2","Years",61,81,NA
"7","Refused",0,81,NA
"9","Don't know",0,81,NA
".","Missing",3664,3745,NA
