"LBXBR5.Code.or.Value","LBXBR5.Value.Description","LBXBR5.Count","LBXBR5.Cumulative","LBXBR5.Skip.to.Item"
"7.3 to 5620.3","Range of Values",1985,1985,NA
".","Missing",352,2337,NA
