"LBDTC2LC.Code.or.Value","LBDTC2LC.Value.Description","LBDTC2LC.Count","LBDTC2LC.Cumulative","LBDTC2LC.Skip.to.Item"
"0","At or above the detection limit",207,207,NA
"1","Below lower detection limit",39,246,NA
".","Missing",1,247,NA
