"AUQ040.Code.or.Value","AUQ040.Value.Description","AUQ040.Count","AUQ040.Cumulative","AUQ040.Skip.to.Item"
"1 to 24","Range of Values",151,151,NA
"77","SP refused",0,151,NA
"99","Don't know",0,151,NA
".","Missing",1656,1807,NA
