"DR2TFF.Code.or.Value","DR2TFF.Value.Description","DR2TFF.Count","DR2TFF.Cumulative","DR2TFF.Skip.to.Item"
"0 to 1772","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
