"URXCBF.Code.or.Value","URXCBF.Value.Description","URXCBF.Count","URXCBF.Cumulative","URXCBF.Skip.to.Item"
"0.28 to 57.54","Range of Values",3030,3030,NA
".","Missing",122,3152,NA
