"URDCCCLC.Code.or.Value","URDCCCLC.Value.Description","URDCCCLC.Count","URDCCCLC.Cumulative","URDCCCLC.Skip.to.Item"
"0","detectable result",861,861,NA
"1","below detectable limit",1090,1951,NA
".","Missing",174,2125,NA
