"ENAATMPT.Code.or.Value","ENAATMPT.Value.Description","ENAATMPT.Count","ENAATMPT.Cumulative","ENAATMPT.Skip.to.Item"
"1 to 10","Range of Values",7548,7548,NA
".","Missing",647,8195,NA
