"DS2TMFAT.Code.or.Value","DS2TMFAT.Value.Description","DS2TMFAT.Count","DS2TMFAT.Cumulative","DS2TMFAT.Skip.to.Item"
"0 to 5","Range of Values",120,120,NA
".","Missing",9642,9762,NA
