"OSD110e.Code.or.Value","OSD110e.Value.Description","OSD110e.Count","OSD110e.Cumulative","OSD110e.Skip.to.Item"
"35 to 40","Range of Values",2,2,NA
"80","80 or older",0,2,NA
"777","Refused",0,2,NA
"999","Don't know",0,2,NA
".","Missing",6216,6218,NA
