"DR1IPFAT.Code.or.Value","DR1IPFAT.Value.Description","DR1IPFAT.Count","DR1IPFAT.Cumulative","DR1IPFAT.Skip.to.Item"
"0 to 70.708","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
