"MCQ151.Code.or.Value","MCQ151.Value.Description","MCQ151.Count","MCQ151.Cumulative","MCQ151.Skip.to.Item"
"7 to 11","Range of Values",61,61,""
"77","Refused",0,61,"MCQ203"
"99","Don't know",0,61,"MCQ203"
".","Missing",8836,8897,""
