"WBXP078.Code.or.Value","WBXP078.Value.Description","WBXP078.Count","WBXP078.Cumulative","WBXP078.Skip.to.Item"
"-167.1805 to 166.4378","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
