"SSCTEIOD.Code.or.Value","SSCTEIOD.Value.Description","SSCTEIOD.Count","SSCTEIOD.Cumulative","SSCTEIOD.Skip.to.Item"
"-0.300607287 to 6.9448818898","Range of Values",917,917,NA
".","Missing",0,917,NA
