"DXXSATM.Code.or.Value","DXXSATM.Value.Description","DXXSATM.Count","DXXSATM.Cumulative","DXXSATM.Skip.to.Item"
"96.14 to 5264.63","Range of Values",4696,4696,NA
".","Missing",996,5692,NA
