"LBXPDTLA.Code.or.Value","LBXPDTLA.Value.Description","LBXPDTLA.Count","LBXPDTLA.Cumulative","LBXPDTLA.Skip.to.Item"
"2.333 to 2560","Range of Values",2305,2305,NA
".","Missing",242,2547,NA
