"DSQTVB6.Code.or.Value","DSQTVB6.Value.Description","DSQTVB6.Count","DSQTVB6.Cumulative","DSQTVB6.Skip.to.Item"
"0.006 to 359.82","Range of Values",2492,2492,NA
".","Missing",7264,9756,NA
