"DS2IPROT.Code.or.Value","DS2IPROT.Value.Description","DS2IPROT.Count","DS2IPROT.Cumulative","DS2IPROT.Skip.to.Item"
"0.17 to 10","Range of Values",179,179,NA
".","Missing",5724,5903,NA
