"WTFOL2YR.Code.or.Value","WTFOL2YR.Value.Description","WTFOL2YR.Count","WTFOL2YR.Cumulative","WTFOL2YR.Skip.to.Item"
"3748.376146 to 903457.15327","Range of Values",4620,4620,NA
"0","No Lab Result",472,5092,NA
".","Missing",0,5092,NA
