"DS2TPHOS.Code.or.Value","DS2TPHOS.Value.Description","DS2TPHOS.Count","DS2TPHOS.Cumulative","DS2TPHOS.Skip.to.Item"
"0.02 to 512","Range of Values",647,647,NA
".","Missing",9166,9813,NA
