"CVXS2RPE.Code.or.Value","CVXS2RPE.Value.Description","CVXS2RPE.Count","CVXS2RPE.Cumulative","CVXS2RPE.Skip.to.Item"
"6 to 20","Range of Values",2979,2979,NA
".","Missing",2173,5152,NA
