"CIQD065.Code.or.Value","CIQD065.Value.Description","CIQD065.Count","CIQD065.Cumulative","CIQD065.Skip.to.Item"
"2 to 16","Range of Values",16,16,NA
"77","Refuse",0,16,NA
"99","Don't know",0,16,NA
".","Missing",912,928,NA
