"PAXDAYWH.Code.or.Value","PAXDAYWH.Value.Description","PAXDAYWH.Count","PAXDAYWH.Cumulative","PAXDAYWH.Skip.to.Item"
"1","Sunday",203641,203641,NA
"2","Monday",196038,399679,NA
"3","Tuesday",185162,584841,NA
"4","Wednesday",178670,763511,NA
"5","Thursday",176269,939780,NA
"6","Friday",179023,1118803,NA
"7","Saturday",189191,1307994,NA
"< blank >","Missing",0,1307994,NA
