"AUXRR258.Code.or.Value","AUXRR258.Value.Description","AUXRR258.Count","AUXRR258.Cumulative","AUXRR258.Skip.to.Item"
"-12 to 70","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
