"AUXU500R.Code.or.Value","AUXU500R.Value.Description","AUXU500R.Count","AUXU500R.Cumulative","AUXU500R.Skip.to.Item"
"-10 to 105","Range of Values",1878,1878,NA
"666","No response",0,1878,NA
"888","Could not obtain",0,1878,NA
".","Missing",168,2046,NA
