"LBDVC6LC.Code.or.Value","LBDVC6LC.Value.Description","LBDVC6LC.Count","LBDVC6LC.Cumulative","LBDVC6LC.Skip.to.Item"
"0","At or above detection limit",55,55,NA
"1","Below lower detection limit",2945,3000,NA
"2","Detectable result and exceeds the calibrated range of assay",0,3000,NA
".","Missing",447,3447,NA
