"CSQ460.Code.or.Value","CSQ460.Value.Description","CSQ460.Count","CSQ460.Cumulative","CSQ460.Skip.to.Item"
"0 to 100","Range of Values",3416,3416,NA
".","Missing",292,3708,NA
